Time    Ener
32919   7.25
32947   2.82
32979   4.35
32982   3.39
32994   3.52
32997   2.83
33000   5.13
33057   4.78
33170   1.67
33180   6.36
33195   3.22
33202   4.99
33236   3.65
33252   3.55
33258   3.67
33277   1.69
33327   3.16
33359   2.90
33374   2.92
33377   2.48
33412   6.50
33440   3.46
33475   4.08
33487   4.19
33506   3.20
33538   3.70
33550   6.82
33616   2.26
33622   8.38
33651   3.28
33682   6.66
33732   4.86
33742   3.37
33764   2.37
33789   2.79
33817   6.47
33833   3.14
33871   3.73
33883   3.20
33889   5.11
33918   3.59
33949   5.08
33955   1.95
33996   4.71
34018   1.72
34166   4.80
34169   4.26
34197   2.45
34216   1.97
34219   1.96
34295   3.11
34335   3.15
34411   2.28
34423   2.38
34518   6.44
34530   3.16
34552   2.46
34602   3.05
34725   2.38
34728   1.78
34737   10.35
34756   2.82
34797   3.75
34832   5.57
34898   4.99
34942   2.71
34976   3.31
35033   4.86
35036   3.94
35052   1.98
35064   3.20
35070   2.29
35108   3.76
35124   3.11
35149   3.49
35162   7.34
35193   3.64
35209   2.77
35240   6.29
35328   3.50
35331   3.10
35378   1.68
35381   1.05
35388   5.72
35394   4.57
35425   3.54
35457   4.42
35463   4.33
35494   4.90
35498   3.83
35507   3.01
35529   3.69
35535   3.40
35542   2.89
35579   4.69
35626   3.97
35636   3.40
35717   4.64
35733   3.71
35761   7.08
35865   5.26
35878   2.98
35884   6.16
36041   7.48
36047   3.78
36094   4.60
36151   4.96
36157   4.56
36160   2.90
36167   3.68
36220   2.91
36248   2.15
36264   3.07
36267   3.21
36277   6.69
36283   2.33
36324   3.95
36383   2.61
36531   3.27
36544   3.48
36547   3.22
36575   5.91
36588   2.52
36660   2.79
36738   1.78
36748   3.51
36779   4.68
36864   3.98
36939   4.54
36946   5.21
36964   3.93
36974   3.30
36974   3.90
37030   2.67
37052   3.09
37056   4.31
37065   7.58
37074   3.59
37140   5.61
37150   3.75
37213   2.93
37304   6.32
37410   2.87
37436   2.60
37448   4.39
37464   4.05
37508   3.08
37517   3.50
37549   2.90
37571   9.34
37583   5.82
37590   3.28
37671   3.88
37687   2.20
37841   8.34
37885   6.39
37922   4.46
37932   3.43
38001   5.43
38098   4.07
38174   5.43
38196   6.58
38230   3.86
38240   7.94
38249   3.58
38277   2.58
38365   4.68
38378   3.51
38412   4.23
38419   3.49
38438   1.83
38478   1.98
38482   3.02
38485   3.57
38494   3.61
38560   3.01
38573   2.83
38739   4.97
38805   4.71
38821   3.69
38846   2.79
38884   6.70
38890   4.38
38940   2.72
39041   4.24
39047   3.33
39094   2.20
39103   3.11
39125   1.96
39144   3.14
39213   4.30
39220   2.72
39229   4.45
39251   2.49
39270   4.64
39295   4.70
39311   2.83
39355   2.36
39402   3.40
39424   3.35
39436   4.07
39468   4.53
39480   5.40
39534   4.54
39543   4.44
39681   3.42
39688   3.27
39703   3.55
39707   4.67
39719   3.06
39751   7.82
39798   4.45
39804   4.09
39807   3.05
39867   3.25
39920   3.39
39923   4.48
39999   5.20
40178   5.11
40244   3.12
40332   2.18
40344   3.10
40382   5.13
40429   3.13
40595   4.14
40633   3.59
40658   1.85
40721   1.80
40891   3.49
40922   3.48
40925   3.05
40941   3.86
40994   3.09
40997   3.66
41001   3.94
41004   3.86
41004   3.26
41041   2.91
41057   1.53
41095   3.36
41167   3.22
41199   3.58
41403   4.42
41437   4.81
41447   6.35
41494   3.33
41528   4.24
41541   3.67
41579   3.06
41723   3.87
41736   2.52
41833   5.10
41877   3.64
41893   6.69
41946   2.02
41974   5.66
41977   3.39
42009   2.89
42018   3.02
42028   3.49
42072   1.32
42091   5.53
42097   3.35
42175   3.02
42197   2.90
42222   4.96
42226   3.27
42266   2.75
42288   5.11
42351   6.69
42367   4.35
42395   2.44
42414   1.68
42483   3.91
42593   3.78
42596   4.11
42609   4.78
42650   3.30
42653   5.31
42656   1.79
42700   3.52
42706   2.77
42716   3.92
42728   1.67
42747   7.47
42747   3.68
42769   3.55
42857   4.11
42870   2.98
42876   4.11
42879   4.19
42898   4.46
43023   1.70
43042   3.54
43133   6.77
43180   4.48
43237   2.78
43243   6.85
43246   3.75
43363   2.91
43407   2.82
43482   1.74
43504   1.84
43517   3.38
43535   2.98
43627   4.94
43689   3.48
43752   3.40
43758   5.58
43771   5.13
43771   3.10
43837   5.36
43900   3.97
43906   5.03
44098   4.08
44113   2.90
44120   4.38
44135   5.38
44145   5.24
44239   2.02
44421   2.95
44446   2.85
44550   5.94
44559   4.96
44578   3.50
44600   2.29
44625   3.13
44704   3.27
44710   4.35
44723   2.73
44723   3.90
44764   7.66
44792   4.09
44808   4.74
44826   3.67
44842   3.87
44845   2.47
44883   5.89
44886   2.82
44927   2.43
45103   4.80
45188   6.55
45200   3.24
45257   3.35
45301   4.71
45357   4.35
45423   3.09
45436   4.32
45442   3.43
45473   1.74
45489   3.36
45596   5.25
45640   2.91
45709   3.68
45762   4.55
45819   4.69
45850   3.25
45866   4.64
45891   2.67
45948   4.05
45976   4.12
46039   5.16
46061   2.94
46095   6.30
46117   3.20
46133   2.13
46372   3.77
46375   4.93
46387   2.62
46397   2.48
46413   2.54
46438   3.72
46488   1.95
46519   4.03
46526   4.04
46560   3.40
46573   3.70
46588   2.87
46645   3.98
46667   3.51
46686   4.67
46783   3.37
46786   2.06
46824   2.74
46852   3.88
46859   4.20
46918   2.98
47069   5.01
47078   4.17
47091   4.32
47094   3.67
47126   4.93
47138   3.69
47148   3.08
47283   2.39
47292   3.69
47305   6.46
47345   5.69
47371   4.42
47408   3.62
